trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
564,False,"{'a': 0.75, 'e': 0.5687682688709241}",25,0,-6.432257790931475,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
565,False,"{'a': 0.75, 'e': 0.5681995006020532}",20,5,-1.6523233760841753,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
566,False,"{'a': 0.75, 'e': 0.5676313011014511}",25,0,-56.251022887744824,"{0: 16, 1: 1, 2: 8, 3: 0, 4: 0}",0
567,False,"{'a': 0.75, 'e': 0.5670636698003497}",30,13,-17.235059189675095,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 0}",1
568,False,"{'a': 0.75, 'e': 0.5664966061305493}",20,8,-21.174715930075383,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 0}",1
569,False,"{'a': 0.75, 'e': 0.5659301095244188}",20,0,-79.48588159787224,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
570,False,"{'a': 0.75, 'e': 0.5653641794148944}",25,0,-52.357420287060734,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
571,False,"{'a': 0.75, 'e': 0.5647988152354795}",30,0,-19.867303367900668,"{0: 27, 1: 1, 2: 1, 3: 0, 4: 1}",0
572,False,"{'a': 0.75, 'e': 0.564234016420244}",20,6,-4.385004885632894,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
573,False,"{'a': 0.75, 'e': 0.5636697824038237}",30,16,17.815179033991207,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
574,False,"{'a': 0.75, 'e': 0.56310611262142}",30,7,-73.06296814551462,"{0: 17, 1: 0, 2: 4, 3: 1, 4: 1}",1
575,False,"{'a': 0.75, 'e': 0.5625430065087985}",20,0,-102.02299824413932,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
576,False,"{'a': 0.75, 'e': 0.5619804635022897}",30,10,-24.606659625608284,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",1
577,False,"{'a': 0.75, 'e': 0.5614184830387874}",20,10,-52.43384380425927,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 1}",1
578,False,"{'a': 0.75, 'e': 0.5608570645557486}",30,9,-21.368645656185695,"{0: 17, 1: 1, 2: 2, 3: 1, 4: 0}",1
579,False,"{'a': 0.75, 'e': 0.5602962074911929}",25,0,-82.44040140600166,"{0: 18, 1: 2, 2: 3, 3: 1, 4: 1}",0
580,False,"{'a': 0.75, 'e': 0.5597359112837017}",20,0,-55.77582834289586,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
581,False,"{'a': 0.75, 'e': 0.5591761753724179}",20,0,-63.131280948106706,"{0: 13, 1: 0, 2: 6, 3: 1, 4: 0}",0
582,False,"{'a': 0.75, 'e': 0.5586169991970455}",25,14,-47.44601340693463,"{0: 8, 1: 0, 2: 2, 3: 0, 4: 1}",1
583,False,"{'a': 0.75, 'e': 0.5580583821978485}",20,0,-148.9728323418683,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 3}",0
584,False,"{'a': 0.75, 'e': 0.5575003238156506}",20,0,-59.770129205410235,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
585,False,"{'a': 0.75, 'e': 0.556942823491835}",30,21,-17.945472556697975,"{0: 6, 1: 2, 2: 0, 3: 1, 4: 0}",1
586,False,"{'a': 0.75, 'e': 0.5563858806683432}",30,0,-146.67157288890502,"{0: 21, 1: 3, 2: 2, 3: 1, 4: 3}",0
